investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier
Deutsche Bank,Commit,1900,400,5,Market,1,133,26.6,Bookrunner,Bookrunner
Bank of America,Commit,700,170,1,Market,3,109,36.3,Participant,Bookrunner
Deutsche Bank,Commit,1300,200,6,Market,1,131,36.4,Bookrunner,Bookrunner
MUFG Union,Commit,1000,160,8,Market,0,115,33.2,Bookrunner,Bookrunner
MUFG Union,Commit,1000,150,7,Market,1,157,41.1,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,240,8,Market,0,133,33.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,250,10,Market,0,206,27,Bookrunner,Bookrunner
Goldman Sachs,Commit,2000,340,2,Below,1,74,11.2,Bookrunner,Bookrunner
Wells Fargo,Decline,500,40,2,Market,2,38,4.1,Bookrunner,Participant
Wells Fargo,Commit,300,40,1,Market,2,44,11.6,Bookrunner,Bookrunner
MUFG Union,Commit,2000,380,6,Market,1,180,50.9,Bookrunner,Bookrunner
Bank of America,Commit,600,120,3,Market,2,58,2.8,Bookrunner,Bookrunner
Wells Fargo,Commit,900,130,1,Market,1,-22,-4.8,Bookrunner,Bookrunner
MUFG Union,Commit,1200,220,3,Market,2,89,16.6,Bookrunner,Bookrunner
Bank of America,Commit,800,60,1,Above,2,111,8.5,Participant,Participant
Bank of America,Commit,400,60,2,Market,2,41,9.4,Participant,Bookrunner
Wells Fargo,Decline,1200,210,9,Below,0,55,5.7,Bookrunner,Bookrunner
MUFG Union,Commit,700,110,1,Market,2,63,12.9,Bookrunner,Bookrunner
MUFG Union,Commit,600,110,4,Above,1,67,20.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,400,70,2,Market,2,41,7.6,Bookrunner,Bookrunner
Wells Fargo,Commit,600,120,3,Market,2,80,1.1,Bookrunner,Bookrunner
Deutsche Bank,Decline,1200,160,6,Market,0,56,7.1,Bookrunner,Bookrunner
MUFG Union,Commit,1200,170,2,Market,2,95,0,Participant,Bookrunner
Wells Fargo,Commit,200,30,2,Market,3,31,1.4,Participant,Bookrunner
Bank of America,Commit,1400,250,7,Below,0,154,4,Participant,Bookrunner
MUFG Union,Commit,200,30,2,Market,2,24,5.1,Bookrunner,Bookrunner
Bank of America,Commit,1800,150,9,Below,0,172,26.7,Bookrunner,Participant
MUFG Union,Commit,300,50,2,Market,3,46,14,Bookrunner,Bookrunner
Bank of America,Commit,1100,250,2,Above,2,94,31,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,260,9,Market,0,49,19.3,Bookrunner,Bookrunner
MUFG Union,Commit,800,110,1,Above,1,0,0,Bookrunner,Bookrunner
Wells Fargo,Commit,1600,230,8,Market,0,198,48.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,800,140,2,Market,2,110,34.1,Bookrunner,Bookrunner
Deutsche Bank,Decline,1500,180,1,Below,3,263,53.7,Bookrunner,Participant
Goldman Sachs,Commit,1000,120,8,Market,0,96,1.8,Participant,Bookrunner
Wells Fargo,Commit,1500,260,4,Market,2,268,87.6,Bookrunner,Bookrunner
Bank of America,Commit,1200,170,2,Market,1,10,0.8,Bookrunner,Bookrunner
Bank of America,Commit,700,110,1,Market,1,1,0.1,Bookrunner,Bookrunner
Goldman Sachs,Decline,1000,120,2,Market,2,58,5.3,Bookrunner,Participant
MUFG Union,Commit,300,70,1,Market,2,25,5.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,230,6,Below,1,74,13.5,Bookrunner,Bookrunner
Wells Fargo,Commit,800,130,1,Market,3,161,30.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,220,1,Market,1,69,7.3,Participant,Bookrunner
MUFG Union,Commit,1200,170,6,Above,1,136,7.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,500,80,2,Below,1,22,4.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,120,4,Above,1,181,35.1,Bookrunner,Participant
Bank of America,Commit,900,130,3,Market,2,121,27.7,Bookrunner,Bookrunner
Bank of America,Commit,1100,170,5,Market,1,137,34.7,Bookrunner,Bookrunner
Wells Fargo,Commit,2100,410,3,Market,2,265,21.7,Bookrunner,Bookrunner
Wells Fargo,Commit,400,70,3,Market,2,91,8.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,190,1,Market,2,162,14.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,800,70,2,Market,2,69,5.4,Bookrunner,Participant
Deutsche Bank,Commit,1800,280,6,Market,1,136,15.1,Bookrunner,Bookrunner
Wells Fargo,Commit,700,140,2,Market,2,65,21.4,Participant,Bookrunner
Wells Fargo,Commit,1200,120,2,Market,1,53,6,Bookrunner,Participant
Wells Fargo,Commit,800,140,2,Market,1,15,4.1,Bookrunner,Bookrunner
Deutsche Bank,Decline,400,40,3,Above,2,46,10.7,Bookrunner,Participant
MUFG Union,Commit,700,100,3,Market,2,69,15.5,Bookrunner,Bookrunner
MUFG Union,Commit,1300,190,4,Above,2,215,57.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,190,4,Below,0,36,7.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,2100,320,6,Market,1,232,14.2,Bookrunner,Bookrunner
MUFG Union,Commit,500,70,3,Market,2,36,5.7,Participant,Bookrunner
Deutsche Bank,Decline,1600,160,4,Market,0,96,5,Bookrunner,Participant
Wells Fargo,Decline,600,40,3,Market,2,80,5.8,Bookrunner,Participant
Wells Fargo,Commit,1100,110,8,Market,0,79,8.1,Participant,Participant
Goldman Sachs,Commit,600,100,2,Market,2,39,9.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1800,250,6,Market,1,212,18.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1900,250,6,Market,1,207,33.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,300,60,2,Market,2,37,13.2,Bookrunner,Bookrunner
Bank of America,Decline,1000,80,8,Market,0,47,7.2,Bookrunner,Participant
Bank of America,Commit,700,130,4,Market,2,107,6.7,Bookrunner,Bookrunner
Wells Fargo,Commit,1400,330,7,Market,0,149,63.9,Bookrunner,Bookrunner
Goldman Sachs,Decline,1500,110,4,Market,1,147,26,Bookrunner,Participant
Wells Fargo,Decline,800,90,2,Market,2,51,9.1,Bookrunner,Participant
Bank of America,Commit,1500,250,7,Market,1,230,17.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,900,120,4,Market,1,211,28.1,Bookrunner,Bookrunner
Wells Fargo,Decline,500,40,2,Below,2,64,13.2,Bookrunner,Participant
Bank of America,Commit,1500,210,5,Market,1,167,7.7,Bookrunner,Bookrunner
Wells Fargo,Decline,800,80,3,Market,2,59,3.7,Bookrunner,Participant
Wells Fargo,Commit,1000,130,4,Market,1,105,10.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,200,5,Above,1,113,43.7,Bookrunner,Bookrunner
MUFG Union,Commit,1300,180,8,Market,0,74,8.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,400,50,1,Market,2,57,9.2,Bookrunner,Bookrunner
Bank of America,Commit,1400,300,5,Market,1,146,53.6,Bookrunner,Bookrunner
Bank of America,Commit,700,160,2,Market,2,48,2.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,140,3,Market,3,196,7.6,Bookrunner,Bookrunner
Bank of America,Decline,300,60,2,Market,2,31,0.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,400,70,3,Below,2,48,11.8,Bookrunner,Bookrunner
Goldman Sachs,Commit,600,90,2,Market,2,57,6.7,Participant,Bookrunner
Wells Fargo,Decline,1000,70,10,Market,0,11,1.5,Bookrunner,Participant
Bank of America,Commit,800,100,2,Market,2,105,2,Bookrunner,Bookrunner
MUFG Union,Commit,300,50,3,Market,2,79,6.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,190,5,Market,0,54,13.6,Bookrunner,Bookrunner
Bank of America,Commit,400,70,4,Market,1,57,4,Bookrunner,Bookrunner
MUFG Union,Commit,1400,260,8,Market,0,144,21,Bookrunner,Bookrunner
Wells Fargo,Commit,400,60,2,Market,1,7,1.2,Participant,Bookrunner
Bank of America,Commit,900,180,2,Market,2,84,30.2,Bookrunner,Bookrunner
MUFG Union,Commit,900,130,2,Market,2,129,14.7,Bookrunner,Bookrunner
Goldman Sachs,Decline,1800,150,8,Market,0,159,13.7,Bookrunner,Participant
Deutsche Bank,Commit,1200,160,4,Market,1,173,14.2,Bookrunner,Bookrunner
Goldman Sachs,Decline,1000,160,8,Market,0,47,3.3,Bookrunner,Bookrunner
Bank of America,Commit,1700,220,6,Market,1,181,13.2,Bookrunner,Bookrunner
Bank of America,Commit,600,70,4,Market,1,63,3.4,Bookrunner,Bookrunner
MUFG Union,Commit,1000,130,2,Market,3,182,30.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,900,150,3,Market,2,102,21.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1600,240,7,Above,0,208,57,Bookrunner,Bookrunner
Wells Fargo,Decline,600,130,2,Below,2,65,5.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,1300,90,2,Market,2,114,15.7,Participant,Participant
Bank of America,Commit,1000,150,3,Market,2,61,12.7,Bookrunner,Bookrunner
Wells Fargo,Commit,1500,190,6,Market,1,91,21.8,Bookrunner,Bookrunner
Deutsche Bank,Decline,1100,130,8,Market,0,66,0.9,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,240,10,Market,0,112,41.6,Bookrunner,Bookrunner
Bank of America,Decline,1200,260,4,Market,0,46,1.9,Bookrunner,Bookrunner
Bank of America,Decline,300,30,4,Market,1,27,6.2,Bookrunner,Participant
Goldman Sachs,Commit,2300,240,5,Market,1,280,55.4,Bookrunner,Participant
Goldman Sachs,Decline,1400,150,8,Market,0,90,18.7,Bookrunner,Participant
Goldman Sachs,Commit,1100,160,4,Market,1,108,27,Bookrunner,Bookrunner
Wells Fargo,Commit,1100,80,9,Above,0,100,16.2,Bookrunner,Participant
MUFG Union,Commit,1600,210,9,Below,0,25,0.1,Participant,Bookrunner
Wells Fargo,Commit,1200,120,3,Market,2,143,20.9,Bookrunner,Participant
Bank of America,Commit,200,40,1,Market,2,23,3.7,Bookrunner,Bookrunner
MUFG Union,Commit,500,120,2,Market,2,59,9.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,600,100,2,Market,2,65,7.9,Bookrunner,Bookrunner
Bank of America,Commit,400,50,2,Market,2,86,3.4,Bookrunner,Bookrunner
Wells Fargo,Commit,800,190,3,Market,1,25,10.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1000,160,8,Market,1,151,0.3,Bookrunner,Bookrunner
Bank of America,Commit,1300,170,6,Market,1,153,35.5,Bookrunner,Bookrunner
Bank of America,Decline,900,170,1,Market,1,-9,-0.3,Bookrunner,Bookrunner
Wells Fargo,Commit,1800,200,5,Market,2,285,60.4,Participant,Participant
Deutsche Bank,Decline,1200,210,9,Market,0,95,1.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,1100,170,8,Below,0,116,10.7,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,190,4,Market,0,58,10.5,Bookrunner,Bookrunner
MUFG Union,Commit,1300,180,3,Below,2,107,3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,240,2,Market,2,146,7.3,Bookrunner,Bookrunner
MUFG Union,Commit,600,120,1,Market,3,106,23,Participant,Bookrunner
Wells Fargo,Decline,700,80,3,Market,2,78,6.2,Bookrunner,Participant
Wells Fargo,Commit,1100,170,9,Above,0,125,31.8,Bookrunner,Bookrunner
Deutsche Bank,Decline,1500,200,8,Market,0,128,6.1,Bookrunner,Bookrunner
Wells Fargo,Commit,1100,160,5,Market,1,90,19.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1000,140,7,Market,0,122,7.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,180,9,Market,0,149,36.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1600,150,5,Above,0,71,7.7,Participant,Participant
Wells Fargo,Commit,1200,150,5,Market,1,128,0.4,Bookrunner,Bookrunner
MUFG Union,Commit,1000,180,8,Market,0,147,46.7,Bookrunner,Bookrunner
MUFG Union,Commit,900,150,3,Market,2,84,2.7,Participant,Bookrunner
Deutsche Bank,Decline,400,90,2,Market,1,20,2.3,Bookrunner,Bookrunner
MUFG Union,Commit,1000,130,8,Market,0,109,22.1,Bookrunner,Bookrunner
MUFG Union,Decline,400,40,2,Market,2,45,8.1,Bookrunner,Participant
MUFG Union,Decline,600,60,1,Market,2,67,3.6,Bookrunner,Participant
MUFG Union,Commit,700,110,1,Market,3,258,0,Participant,Bookrunner
Bank of America,Commit,600,70,3,Market,3,91,22.8,Bookrunner,Participant
Wells Fargo,Commit,1400,270,10,Market,0,174,25.2,Bookrunner,Bookrunner
Bank of America,Commit,1200,220,2,Market,2,131,1,Participant,Bookrunner
Deutsche Bank,Commit,1300,220,6,Market,1,153,36.6,Bookrunner,Bookrunner
Wells Fargo,Commit,200,30,2,Market,1,6,1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1700,240,3,Above,3,287,48.5,Bookrunner,Bookrunner
Bank of America,Decline,1800,210,3,Above,2,133,8,Bookrunner,Participant
Wells Fargo,Commit,200,30,2,Market,2,23,5.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1800,220,5,Market,1,150,22.7,Bookrunner,Bookrunner
MUFG Union,Commit,400,80,4,Market,2,61,1.2,Bookrunner,Bookrunner
Bank of America,Commit,1600,310,7,Market,0,116,18.6,Participant,Bookrunner
MUFG Union,Commit,1100,160,8,Market,0,85,3.7,Bookrunner,Bookrunner
Wells Fargo,Commit,900,160,5,Market,2,150,28.7,Participant,Bookrunner
Wells Fargo,Commit,400,70,5,Market,1,44,14,Bookrunner,Bookrunner
Deutsche Bank,Commit,1100,200,10,Market,0,86,24.3,Bookrunner,Bookrunner
Wells Fargo,Decline,1000,170,5,Below,1,87,4.8,Bookrunner,Bookrunner
Bank of America,Commit,900,120,3,Market,2,90,1,Bookrunner,Bookrunner
Bank of America,Commit,300,50,2,Market,2,35,9,Bookrunner,Bookrunner
MUFG Union,Commit,400,70,2,Market,3,62,5.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,240,4,Market,1,140,48.9,Participant,Bookrunner
Goldman Sachs,Commit,400,60,3,Market,2,44,9.9,Bookrunner,Bookrunner
Bank of America,Commit,1200,90,3,Above,2,285,51,Bookrunner,Participant
Deutsche Bank,Commit,1000,190,6,Market,1,115,14.8,Bookrunner,Bookrunner
Bank of America,Commit,300,40,3,Market,2,31,3,Bookrunner,Bookrunner
Deutsche Bank,Decline,800,80,2,Market,2,118,17,Bookrunner,Participant
Deutsche Bank,Commit,1200,160,5,Market,1,123,22.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,170,3,Above,2,69,4.6,Bookrunner,Bookrunner
Bank of America,Decline,800,140,1,Below,2,100,0.5,Bookrunner,Bookrunner
Bank of America,Commit,200,30,1,Market,2,27,5.9,Bookrunner,Bookrunner
Goldman Sachs,Decline,700,120,2,Below,1,33,1.9,Bookrunner,Bookrunner
Bank of America,Commit,1200,170,3,Below,2,161,14.2,Bookrunner,Bookrunner
Wells Fargo,Commit,800,160,4,Market,0,21,5.2,Bookrunner,Bookrunner
Wells Fargo,Commit,200,40,2,Market,2,10,2,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,150,3,Market,2,109,13.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,1700,240,8,Market,0,451,40.6,Bookrunner,Bookrunner
MUFG Union,Commit,900,190,2,Market,2,123,4.3,Bookrunner,Bookrunner
Deutsche Bank,Decline,400,70,5,Market,1,32,1,Bookrunner,Bookrunner
Wells Fargo,Commit,700,100,4,Market,1,66,7.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,700,70,4,Above,1,37,6.6,Bookrunner,Participant
Goldman Sachs,Commit,900,110,1,Market,2,81,8.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,1600,300,10,Above,0,123,27.8,Participant,Bookrunner
MUFG Union,Commit,800,150,4,Above,2,143,10.2,Bookrunner,Bookrunner
Wells Fargo,Commit,1700,350,8,Above,0,11,3.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,240,9,Market,0,71,2.8,Participant,Bookrunner
Bank of America,Commit,1400,210,6,Below,1,187,0,Participant,Bookrunner
MUFG Union,Commit,900,120,2,Market,2,47,6.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1500,220,6,Market,1,212,11.4,Bookrunner,Bookrunner
Deutsche Bank,Decline,1200,110,7,Market,1,181,16.5,Bookrunner,Participant
Goldman Sachs,Decline,800,50,2,Market,2,66,10.4,Bookrunner,Participant
Bank of America,Commit,1200,170,9,Above,0,70,3,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,210,1,Market,2,118,2.5,Bookrunner,Bookrunner
MUFG Union,Commit,1600,90,9,Market,0,111,7.8,Participant,Participant
Wells Fargo,Decline,700,70,3,Market,2,50,5.1,Bookrunner,Participant
Deutsche Bank,Commit,800,160,3,Market,1,-14,-4.8,Bookrunner,Bookrunner
Wells Fargo,Decline,1100,130,4,Below,1,68,10.7,Bookrunner,Bookrunner
Wells Fargo,Decline,200,20,2,Market,3,30,2,Bookrunner,Participant
Goldman Sachs,Decline,900,100,2,Market,2,58,15.2,Bookrunner,Participant
Wells Fargo,Commit,1100,110,9,Above,0,113,11.9,Bookrunner,Participant
Bank of America,Commit,1100,150,3,Market,2,127,2.2,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,190,2,Market,2,115,27,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,330,1,Market,1,99,30.6,Participant,Bookrunner
MUFG Union,Commit,1200,190,9,Market,0,178,44,Bookrunner,Bookrunner
Goldman Sachs,Decline,500,70,5,Market,1,73,3.4,Bookrunner,Bookrunner
Bank of America,Commit,900,170,2,Market,2,94,2.8,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,210,8,Market,0,116,0,Participant,Bookrunner
Goldman Sachs,Decline,400,50,1,Market,2,32,0.7,Bookrunner,Bookrunner
Bank of America,Commit,1200,60,8,Above,0,158,21.8,Bookrunner,Participant
Goldman Sachs,Commit,1700,260,5,Market,1,219,21.7,Bookrunner,Bookrunner
MUFG Union,Commit,600,110,4,Market,1,40,13,Bookrunner,Bookrunner
Wells Fargo,Commit,900,120,2,Market,2,110,28.6,Bookrunner,Bookrunner
Bank of America,Commit,1300,170,5,Market,0,30,5.9,Bookrunner,Bookrunner
MUFG Union,Commit,1400,230,10,Market,0,174,54.3,Bookrunner,Bookrunner
Bank of America,Commit,500,100,2,Below,1,22,3.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,900,140,2,Market,2,86,21.2,Bookrunner,Bookrunner
MUFG Union,Commit,800,100,4,Above,1,230,21.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,240,4,Market,1,177,17,Bookrunner,Bookrunner
Wells Fargo,Commit,1700,140,3,Market,1,63,10.9,Bookrunner,Participant
MUFG Union,Commit,700,140,2,Above,2,51,11.7,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,250,5,Above,1,167,25.9,Bookrunner,Bookrunner
Deutsche Bank,Decline,1000,110,8,Market,0,90,18.3,Bookrunner,Participant
Deutsche Bank,Decline,900,110,1,Market,1,40,2.3,Bookrunner,Bookrunner
Goldman Sachs,Decline,900,110,3,Market,2,125,28.9,Bookrunner,Participant
Bank of America,Commit,900,150,3,Market,2,84,9.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,900,150,3,Market,2,95,15.8,Bookrunner,Bookrunner
Bank of America,Commit,500,100,2,Market,2,52,13.1,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,210,3,Below,2,161,54.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,140,2,Market,2,77,14.6,Bookrunner,Bookrunner
Bank of America,Decline,1200,140,6,Market,1,167,9,Bookrunner,Participant
Wells Fargo,Commit,1200,120,9,Market,0,96,1.9,Participant,Participant
Goldman Sachs,Commit,900,120,1,Market,2,117,21.2,Bookrunner,Bookrunner
Bank of America,Commit,900,110,2,Market,2,106,18.4,Bookrunner,Bookrunner
MUFG Union,Commit,1700,270,2,Market,2,168,51.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,300,50,3,Market,2,79,21.5,Bookrunner,Bookrunner
Bank of America,Commit,600,90,1,Market,2,31,8.1,Bookrunner,Bookrunner
Wells Fargo,Commit,2100,180,5,Market,1,155,27.1,Bookrunner,Participant
Bank of America,Commit,600,100,2,Market,3,91,23.8,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,220,9,Market,0,157,25.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,210,4,Market,1,147,30.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,210,5,Below,1,156,17.6,Bookrunner,Bookrunner
Wells Fargo,Commit,700,130,1,Market,2,94,31.7,Bookrunner,Bookrunner
MUFG Union,Commit,500,80,3,Market,2,34,0,Participant,Bookrunner
Bank of America,Decline,1300,250,7,Market,0,45,1.5,Bookrunner,Bookrunner
Wells Fargo,Commit,300,60,2,Market,2,28,1.7,Participant,Bookrunner
Deutsche Bank,Commit,500,70,2,Above,1,49,8.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,160,6,Market,1,154,26.6,Bookrunner,Bookrunner
Bank of America,Commit,1100,90,8,Market,0,146,29.8,Bookrunner,Participant
Bank of America,Commit,1300,280,8,Market,0,29,12.4,Bookrunner,Bookrunner
Wells Fargo,Decline,700,130,2,Below,2,41,5,Bookrunner,Bookrunner
Bank of America,Commit,2100,270,3,Market,2,208,7.3,Bookrunner,Bookrunner
Wells Fargo,Commit,1100,160,3,Market,3,198,34.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1700,270,4,Market,1,196,14.7,Bookrunner,Bookrunner
Bank of America,Decline,500,60,2,Market,2,52,5.6,Bookrunner,Participant
Deutsche Bank,Commit,1700,100,6,Market,1,164,8.5,Participant,Participant
Wells Fargo,Commit,200,30,3,Market,2,24,0.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,130,7,Market,0,253,0,Participant,Bookrunner
Wells Fargo,Commit,900,170,1,Market,2,102,28.9,Bookrunner,Bookrunner
Deutsche Bank,Decline,700,120,2,Market,2,48,3.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,250,5,Above,1,165,48,Bookrunner,Bookrunner
Deutsche Bank,Commit,1100,160,9,Above,0,136,10.9,Bookrunner,Bookrunner
Bank of America,Commit,900,200,1,Market,2,118,12.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,1000,120,7,Market,0,57,10.5,Bookrunner,Participant
Wells Fargo,Decline,1600,190,3,Below,2,114,7.2,Bookrunner,Participant
MUFG Union,Commit,600,110,3,Market,2,76,23,Bookrunner,Bookrunner
Deutsche Bank,Commit,1100,160,10,Market,1,200,6.6,Participant,Bookrunner
Goldman Sachs,Commit,1300,200,4,Above,1,191,56,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,140,3,Market,3,106,9.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,300,8,Market,0,194,64.8,Participant,Bookrunner
Wells Fargo,Commit,700,100,2,Market,2,72,18,Bookrunner,Bookrunner
Goldman Sachs,Decline,1000,150,10,Market,0,11,0.7,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,240,4,Market,1,90,34.7,Bookrunner,Bookrunner
MUFG Union,Commit,1500,270,8,Market,0,79,4.6,Bookrunner,Bookrunner
MUFG Union,Commit,600,110,2,Market,2,53,12.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,150,4,Above,2,215,39.6,Bookrunner,Participant
Goldman Sachs,Decline,1100,120,5,Market,1,135,12.2,Bookrunner,Participant
MUFG Union,Decline,300,50,2,Market,2,25,0.4,Bookrunner,Bookrunner
MUFG Union,Commit,1200,260,6,Below,1,130,37.3,Bookrunner,Bookrunner
Goldman Sachs,Decline,1600,170,2,Market,2,149,31.1,Bookrunner,Participant
Bank of America,Commit,1800,330,6,Market,1,209,23.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,600,90,4,Market,1,60,15.7,Participant,Bookrunner
Wells Fargo,Commit,500,70,5,Market,1,73,16.2,Bookrunner,Bookrunner
MUFG Union,Commit,900,110,2,Market,2,110,4.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,700,80,4,Market,1,66,4.8,Bookrunner,Participant
Goldman Sachs,Decline,600,50,1,Market,2,40,3.5,Bookrunner,Participant
MUFG Union,Commit,1200,250,3,Market,2,95,37.9,Bookrunner,Bookrunner
MUFG Union,Commit,1300,120,1,Market,2,105,1.2,Participant,Participant
Goldman Sachs,Commit,1000,160,3,Market,2,61,14.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,1700,200,7,Above,1,273,72.6,Bookrunner,Participant
MUFG Union,Commit,1600,220,9,Market,0,111,22.4,Participant,Bookrunner
Deutsche Bank,Decline,300,40,3,Market,2,31,3.7,Bookrunner,Bookrunner
Wells Fargo,Commit,1800,260,2,Market,2,180,13.7,Bookrunner,Bookrunner
MUFG Union,Commit,1100,160,8,Market,0,100,2.5,Bookrunner,Bookrunner
Wells Fargo,Decline,900,150,4,Below,1,74,8.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,160,7,Market,0,117,15.1,Bookrunner,Bookrunner
Wells Fargo,Commit,900,150,1,Market,2,106,13.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,160,1,Above,2,99,7.1,Bookrunner,Bookrunner
Bank of America,Commit,1700,160,7,Market,1,308,33.9,Bookrunner,Participant
MUFG Union,Commit,1500,210,7,Market,0,199,41,Bookrunner,Bookrunner
Bank of America,Commit,1700,310,2,Market,2,116,31.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,500,70,3,Market,2,52,7.2,Bookrunner,Bookrunner
MUFG Union,Commit,1200,170,2,Market,2,95,16,Participant,Bookrunner
Deutsche Bank,Commit,1300,230,2,Market,2,117,37.7,Bookrunner,Bookrunner
Bank of America,Commit,1000,180,3,Market,2,59,14.9,Bookrunner,Bookrunner
MUFG Union,Commit,900,110,4,Market,1,75,4.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,210,10,Market,0,176,18.8,Bookrunner,Bookrunner
MUFG Union,Commit,900,150,3,Market,2,80,19.1,Bookrunner,Bookrunner
Bank of America,Decline,600,60,3,Market,2,80,10.9,Bookrunner,Participant
Wells Fargo,Commit,900,120,1,Market,2,125,4.4,Participant,Bookrunner
Bank of America,Commit,1500,280,9,Below,0,109,10.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,700,70,1,Market,1,30,5.3,Participant,Participant
MUFG Union,Commit,1000,160,5,Market,2,194,48.5,Bookrunner,Bookrunner
Bank of America,Commit,1000,190,3,Market,2,73,14.7,Bookrunner,Bookrunner
Bank of America,Commit,400,70,2,Market,1,4,1.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,100,3,Above,2,47,13.3,Bookrunner,Bookrunner
MUFG Union,Commit,900,160,3,Market,2,129,16.9,Bookrunner,Bookrunner
Bank of America,Decline,300,20,4,Market,2,65,8.2,Bookrunner,Participant
Deutsche Bank,Commit,600,80,2,Market,2,39,7.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,130,4,Market,1,147,7.6,Participant,Participant
MUFG Union,Commit,1300,180,5,Above,0,55,0,Participant,Bookrunner
Wells Fargo,Commit,1700,270,2,Market,2,116,6.3,Bookrunner,Bookrunner
Goldman Sachs,Decline,1300,150,8,Market,0,105,25.3,Bookrunner,Participant
Deutsche Bank,Commit,1000,150,5,Market,1,111,27.2,Bookrunner,Bookrunner
